handSide,targetGrip,targetTrigger,joint,positionX,positionY,positionZ,rotationX,rotationY,rotationZ,rotationW,radius
LEFT,0.00,0.50,LITTLE_INTERMEDIATE_EXT,-0.03545953,-0.09604871,0.06985044,-0.38701937,-0.06344630,0.75998062,0.51828891,0.00750000
LEFT,0.00,0.50,LITTLE_DISTAL_EXT,-0.02356513,-0.10159093,0.05725837,-0.40019295,0.00084678,0.74109030,0.53910464,0.00670000
LEFT,0.00,0.50,LITTLE_TIP_EXT,-0.01674369,-0.10657525,0.04942971,-0.40019295,0.00084678,0.74109030,0.53910464,0.00650000
LEFT,0.00,0.80,PALM_EXT,-0.04566473,-0.03733498,0.11528543,0.01637370,-0.04948959,-0.62672973,-0.77749264,0.01190000
LEFT,0.00,0.80,WRIST_EXT,-0.04103760,-0.04022306,0.16783801,0.09839696,-0.16378297,0.63202101,0.75103194,0.01190000
LEFT,0.00,0.80,THUMB_METACARPAL_EXT,-0.01925227,-0.01787776,0.14874090,0.18047467,-0.29843807,0.01395195,0.93710828,0.01210000
LEFT,0.00,0.80,THUMB_PROXIMAL_EXT,0.00314475,-0.00387406,0.11816452,0.20759676,0.20482847,0.07610478,-0.95349908,0.01170000
LEFT,0.00,0.80,THUMB_DISTAL_EXT,0.01481852,-0.01776075,0.09117883,0.65310222,0.14356135,0.18949802,-0.71898663,0.01050000
LEFT,0.00,0.80,THUMB_TIP_EXT,0.01396130,-0.03849012,0.08897352,-0.65310222,-0.14356135,-0.18949802,0.71898663,0.00960000
LEFT,0.00,0.80,INDEX_METACARPAL_EXT,-0.03991599,-0.01941246,0.15279879,-0.04780915,-0.00409693,-0.76376712,-0.64370781,0.02100000
LEFT,0.00,0.80,INDEX_PROXIMAL_EXT,-0.04573971,-0.01530027,0.07876801,0.48515359,0.40914962,-0.57911026,-0.51171911,0.01060000
LEFT,0.00,0.80,INDEX_INTERMEDIATE_EXT,-0.00324477,-0.01628131,0.07034194,-0.69963425,-0.71006805,0.07675331,-0.02066050,0.00950000
LEFT,0.00,0.80,INDEX_DISTAL_EXT,-0.00103529,-0.01237768,0.09828997,-0.53324997,-0.60153002,-0.38647911,-0.45215279,0.00860000
LEFT,0.00,0.80,INDEX_TIP_EXT,-0.01549355,-0.01211661,0.10271123,-0.53324997,-0.60153002,-0.38647911,-0.45215279,0.00770000
